Id,ProductId,Score,review_year,review_month,star_sentiment,vader_sentiment,vader_compound,sentiment_agreement,helpfulness_ratio,is_helpful,jtbd_count,unmet_need,lda_topic_name,lda_topic_confidence,cluster_name,review_length,word_count
562,B000G6RYNE,1,2011,2,Negative,Negative,-0.664,1,0.7777777777777778,1,1,1,General Product Experience,0.751,Snack & Cooking Enthusiasts,547,44
563,B000G6RYNE,1,2011,1,Negative,Negative,-0.8814,1,0.7777777777777778,1,4,1,General Product Experience,0.805,Mainstream Food Buyers,830,64
564,B000G6RYNE,5,2008,2,Positive,Positive,0.9217,1,0.7777777777777778,1,3,0,General Product Experience,0.284,Snack & Cooking Enthusiasts,476,48
565,B000G6RYNE,5,2007,10,Positive,Positive,0.8172,1,0.7777777777777778,1,2,0,Snacks & Chocolate,0.436,Snack & Cooking Enthusiasts,223,20
566,B000G6RYNE,5,2007,3,Positive,Positive,0.9859,1,0.7777777777777778,1,3,0,Snacks & Chocolate,0.718,Snack & Cooking Enthusiasts,373,32
577,B000G6RYNE,1,2011,10,Negative,Positive,0.8291,0,0.8,1,1,0,Snacks & Chocolate,0.339,Snack & Cooking Enthusiasts,375,23
578,B000G6RYNE,5,2009,8,Positive,Positive,0.9749,1,0.8,1,5,0,Snacks & Chocolate,0.943,Snack & Cooking Enthusiasts,650,51
654,B002BCD2OG,5,2009,11,Positive,Positive,0.7588,1,1.0,1,7,0,Baking & Dietary Needs,0.821,Mainstream Food Buyers,1535,129
655,B002BCD2OG,4,2010,12,Positive,Positive,0.4404,1,1.0,1,1,0,Organic & Nutrition Labels,0.572,Mainstream Food Buyers,183,15
656,B002BCD2OG,5,2010,2,Positive,Positive,0.8932,1,1.0,1,1,0,Baking & Dietary Needs,0.603,Mainstream Food Buyers,106,9
676,B000G6MBX2,5,2007,4,Positive,Positive,0.6588,1,0.8333333333333334,1,1,0,Snacks & Chocolate,0.511,Snack & Cooking Enthusiasts,326,26
681,B000G6MBX2,5,2007,8,Positive,Positive,0.491,1,0.8,1,1,0,Tea & Beverages,0.546,Mainstream Food Buyers,140,12
682,B000G6MBX2,5,2006,9,Positive,Negative,-0.509,0,0.8,1,2,0,Snacks & Chocolate,0.589,Snack & Cooking Enthusiasts,153,14
746,B001LO4ZWI,5,2012,2,Positive,Positive,0.9909,1,0.8333333333333334,1,6,0,Organic & Nutrition Labels,0.699,Mainstream Food Buyers,2574,208
752,B0035YE9CS,4,2010,9,Positive,Positive,0.9916,1,0.8333333333333334,1,5,0,Tea & Beverages,0.282,Mainstream Food Buyers,1266,114
804,B004S0AQHA,3,2011,7,Neutral,Positive,0.8289,0,0.9,1,5,0,General Product Experience,0.585,Mainstream Food Buyers,744,54
805,B004S0AQHA,3,2011,7,Neutral,Positive,0.8422,0,0.9,1,3,0,General Product Experience,0.656,Mainstream Food Buyers,197,17
828,B0007NG56I,5,2009,5,Positive,Positive,0.7088,1,0.9411764705882353,1,3,0,General Product Experience,0.642,Mainstream Food Buyers,278,22
829,B0007NG56I,5,2010,3,Positive,Positive,0.2382,1,0.9230769230769231,1,3,0,Baking & Dietary Needs,0.601,Mainstream Food Buyers,212,20
830,B0007NG56I,5,2012,3,Positive,Positive,0.945,1,0.8,1,2,0,Baking & Dietary Needs,0.533,Mainstream Food Buyers,384,31
832,B000IXUISS,1,2010,5,Negative,Negative,-0.2755,1,1.0,1,2,1,Snacks & Chocolate,0.686,Indulgent Snack Seekers,309,21
833,B000IXUISS,1,2010,9,Negative,Positive,0.7184,0,1.0,1,3,0,Snacks & Chocolate,0.388,Indulgent Snack Seekers,508,45
834,B001ELL9X6,5,2007,12,Positive,Positive,0.8118,1,1.0,1,6,0,Tea & Beverages,0.618,Tea Drinkers,744,70
857,B000VKYKTG,4,2008,9,Positive,Positive,0.7738,1,1.0,1,3,0,General Product Experience,0.419,Indulgent Snack Seekers,361,27
873,B000HDMUQ2,1,2010,6,Negative,Negative,-0.7391,1,0.875,1,4,1,General Product Experience,0.435,Indulgent Snack Seekers,1458,111
900,B000ER6YO0,3,2009,7,Neutral,Positive,0.9963,0,1.0,1,5,0,Organic & Nutrition Labels,0.352,Mainstream Food Buyers,1547,109
974,B001EQ4DVQ,5,2010,2,Positive,Positive,0.9875,1,1.0,1,4,0,General Product Experience,0.725,Coffee Aficionados,1118,85
1015,B001E6KBSK,5,2009,6,Positive,Positive,0.8201,1,0.8333333333333334,1,2,0,Snacks & Chocolate,0.617,Mainstream Food Buyers,278,21
1052,B001TZSDJK,5,2010,8,Positive,Positive,0.9742,1,1.0,1,4,0,General Product Experience,0.457,Snack & Cooking Enthusiasts,509,37
1073,B001GE3T1G,5,2010,2,Positive,Positive,0.9757,1,1.0,1,3,0,General Product Experience,0.369,Indulgent Snack Seekers,499,42
1092,B0025ULYKI,5,2010,4,Positive,Positive,0.8627,1,1.0,1,3,0,Snacks & Chocolate,0.591,Snack & Cooking Enthusiasts,405,30
1093,B0025ULYKI,4,2009,12,Positive,Positive,0.9138,1,1.0,1,3,0,Snacks & Chocolate,0.372,Snack & Cooking Enthusiasts,581,44
1094,B0025ULYKI,5,2010,4,Positive,Positive,0.9653,1,0.875,1,3,0,General Product Experience,0.745,Snack & Cooking Enthusiasts,484,40
1151,B004OHKJWE,1,2011,11,Negative,Negative,-0.8398,1,0.8333333333333334,1,2,1,General Product Experience,0.888,Mainstream Food Buyers,691,50
1153,B004134H9W,1,2011,9,Negative,Negative,-0.5893,1,0.8888888888888888,1,3,1,General Product Experience,0.891,Mainstream Food Buyers,240,20
1169,B001HTI226,3,2010,9,Neutral,Negative,-0.4215,0,0.8571428571428571,1,1,0,General Product Experience,0.609,Mainstream Food Buyers,239,19
1177,B00283V4GQ,1,2012,1,Negative,Negative,-0.9493,1,1.0,1,2,1,General Product Experience,0.957,Mainstream Food Buyers,918,65
1178,B00283V4GQ,1,2011,5,Negative,Positive,0.1697,0,0.8387096774193549,1,3,0,General Product Experience,0.442,Mainstream Food Buyers,364,31
1179,B00283V4GQ,3,2011,4,Neutral,Positive,0.8673,0,0.875,1,3,0,General Product Experience,0.958,Mainstream Food Buyers,293,19
1181,B00283V4GQ,5,2011,1,Positive,Positive,0.9467,1,0.8,1,3,0,General Product Experience,0.801,Mainstream Food Buyers,214,16
1205,B005O072PC,5,2007,2,Positive,Positive,0.9618,1,0.9047619047619048,1,5,0,Meal Prep & Easy Cooking,0.352,Mainstream Food Buyers,957,71
1206,B005O072PC,5,2004,6,Positive,Positive,0.9229,1,0.9285714285714286,1,2,0,Meal Prep & Easy Cooking,0.66,Mainstream Food Buyers,359,34
1207,B005O072PC,1,2010,1,Negative,Positive,0.9302,0,0.9090909090909091,1,7,0,General Product Experience,0.728,Mainstream Food Buyers,1586,124
1208,B005O072PC,4,2006,3,Positive,Positive,0.3182,1,0.9090909090909091,1,4,0,Meal Prep & Easy Cooking,0.635,Snack & Cooking Enthusiasts,391,36
1209,B005O072PC,3,2004,12,Neutral,Positive,0.9556,0,0.8333333333333334,1,2,0,Meal Prep & Easy Cooking,0.574,Mainstream Food Buyers,331,24
1210,B005O072PC,4,2006,6,Positive,Positive,0.126,1,0.9,1,1,0,Snacks & Chocolate,0.469,Mainstream Food Buyers,105,10
1211,B005O072PC,1,2008,3,Negative,Negative,-0.1999,1,0.9,1,3,1,General Product Experience,0.619,Mainstream Food Buyers,187,11
1212,B005O072PC,5,2006,7,Positive,Positive,0.887,1,0.8571428571428571,1,1,0,Meal Prep & Easy Cooking,0.811,Mainstream Food Buyers,83,4
1215,B005O072PC,5,2006,8,Positive,Positive,0.8585,1,0.8333333333333334,1,2,0,General Product Experience,0.741,Mainstream Food Buyers,149,10
1219,B005O072PC,4,2006,10,Positive,Positive,0.6249,1,0.8,1,1,0,Meal Prep & Easy Cooking,0.926,Mainstream Food Buyers,137,12
1235,B000K296BW,3,2009,6,Neutral,Negative,-0.2244,0,0.8666666666666667,1,2,0,General Product Experience,0.855,Mainstream Food Buyers,228,13
1236,B000K296BW,1,2010,9,Negative,Neutral,0.0,0,1.0,1,1,0,Pet Food & Treats,0.881,Mainstream Food Buyers,152,10
1244,B00002Z754,5,2000,6,Positive,Positive,0.9503,1,1.0,1,2,0,General Product Experience,0.936,Mainstream Food Buyers,475,35
1245,B00002Z754,5,2000,6,Positive,Positive,0.8169,1,1.0,1,1,0,General Product Experience,0.927,Mainstream Food Buyers,168,12
1252,B002T62G7S,5,2011,1,Positive,Positive,0.6269,1,0.8,1,3,0,General Product Experience,0.427,Mainstream Food Buyers,267,26
1257,B001FA1L7A,5,2008,3,Positive,Positive,0.4767,1,0.9166666666666666,1,1,0,General Product Experience,0.422,Mainstream Food Buyers,118,10
1258,B001FA1L7A,5,2008,7,Positive,Positive,0.996,1,0.8666666666666667,1,5,0,Baking & Dietary Needs,0.499,Mainstream Food Buyers,1215,107
1318,B004EKO2HE,1,2011,9,Negative,Positive,0.6724,0,1.0,1,3,0,General Product Experience,0.319,Mainstream Food Buyers,711,65
1319,B004EKO2HE,5,2011,8,Positive,Positive,0.8462,1,1.0,1,2,0,Coffee & Roasts,0.63,Mainstream Food Buyers,192,15
1333,B002TM37RU,5,2009,12,Positive,Positive,0.9371,1,1.0,1,1,0,Tea & Beverages,0.497,Mainstream Food Buyers,214,20
1367,B0013JQON4,5,2012,1,Positive,Positive,0.9403,1,1.0,1,3,0,Baking & Dietary Needs,0.728,Mainstream Food Buyers,194,19
1368,B0013JQON4,5,2012,3,Positive,Positive,0.9022,1,1.0,1,2,0,General Product Experience,0.505,Mainstream Food Buyers,316,23
1369,B0013JQON4,5,2011,1,Positive,Positive,0.9345,1,0.8461538461538461,1,4,0,General Product Experience,0.559,Mainstream Food Buyers,259,24
1373,B00068PCTU,5,2006,3,Positive,Positive,0.9132,1,1.0,1,2,0,Organic & Nutrition Labels,0.565,Mainstream Food Buyers,294,20
1374,B00068PCTU,5,2010,2,Positive,Positive,0.9807,1,1.0,1,5,0,Baking & Dietary Needs,0.448,Mainstream Food Buyers,1835,149
1407,B001EO7GAI,5,2009,12,Positive,Positive,0.6115,1,1.0,1,2,0,General Product Experience,0.61,Mainstream Food Buyers,121,9
1435,B0000VLH8S,5,2007,4,Positive,Positive,0.961,1,1.0,1,4,0,Tea & Beverages,0.501,Mainstream Food Buyers,595,51
1436,B0000VLH8S,5,2008,6,Positive,Positive,0.6698,1,1.0,1,2,0,General Product Experience,0.623,Mainstream Food Buyers,439,40
1440,B001E50UEQ,3,2009,8,Neutral,Positive,0.2908,0,1.0,1,3,0,Meal Prep & Easy Cooking,0.514,Mainstream Food Buyers,1128,83
1460,B0040WHJQM,5,2010,10,Positive,Positive,0.9489,1,1.0,1,3,0,Meal Prep & Easy Cooking,0.685,Mainstream Food Buyers,535,41
1461,B0040WHJQM,5,2011,5,Positive,Positive,0.5574,1,0.8888888888888888,1,1,0,Meal Prep & Easy Cooking,0.402,Mainstream Food Buyers,310,20
1462,B0040WHJQM,5,2011,3,Positive,Positive,0.9661,1,1.0,1,3,0,Meal Prep & Easy Cooking,0.527,Mainstream Food Buyers,642,52
1474,B002BKTWL0,5,2010,4,Positive,Positive,0.8885,1,1.0,1,1,0,Daily Use & Supplements,0.458,Mainstream Food Buyers,104,9
1495,B002JLT6QC,3,2010,12,Neutral,Positive,0.8653,0,0.8,1,3,0,Meal Prep & Easy Cooking,0.547,Mainstream Food Buyers,291,22
1498,B002KGN4LE,5,2010,6,Positive,Positive,0.9824,1,1.0,1,5,0,Organic & Nutrition Labels,0.602,Mainstream Food Buyers,5160,435
1499,B002KGN4LE,5,2010,5,Positive,Positive,0.8413,1,1.0,1,3,0,Organic & Nutrition Labels,0.353,Mainstream Food Buyers,1406,120
1500,B002KGN4LE,5,2010,4,Positive,Positive,0.9864,1,1.0,1,2,0,Organic & Nutrition Labels,0.397,Mainstream Food Buyers,897,63
1504,B003UIDAHY,5,2011,2,Positive,Positive,0.9808,1,1.0,1,5,0,Meal Prep & Easy Cooking,0.513,Mainstream Food Buyers,627,45
1518,B001LQNX8S,5,2009,9,Positive,Positive,0.9436,1,1.0,1,4,0,General Product Experience,0.612,Coffee Aficionados,471,41
1525,B000E1HUEE,5,2008,1,Positive,Positive,0.7913,1,1.0,1,2,0,Baking & Dietary Needs,0.785,Mainstream Food Buyers,272,24
1556,B000E7WM0U,5,2007,2,Positive,Positive,0.9231,1,1.0,1,1,0,Meal Prep & Easy Cooking,0.777,Mainstream Food Buyers,260,26
1573,B001CWZXIY,5,2009,11,Positive,Positive,0.9866,1,1.0,1,7,0,Pet Food & Treats,0.577,Dedicated Dog Owners,1886,170
1574,B001CWZXIY,5,2009,7,Positive,Negative,-0.8893,0,1.0,1,6,0,Pet Food & Treats,0.689,Dedicated Dog Owners,1112,97
1575,B001CWZXIY,5,2010,4,Positive,Positive,0.9982,1,1.0,1,7,0,Pet Food & Treats,0.87,Dedicated Dog Owners,2473,215
1576,B001CWZXIY,5,2010,4,Positive,Positive,0.9856,1,1.0,1,4,0,Pet Food & Treats,0.77,Dedicated Dog Owners,917,75
1577,B001CWZXIY,5,2010,4,Positive,Positive,0.9864,1,1.0,1,5,0,Pet Food & Treats,0.754,Dedicated Dog Owners,1070,84
1703,B001RVFDOO,5,2009,10,Positive,Positive,0.9932,1,0.9821428571428571,1,5,0,Snacks & Chocolate,0.491,Snack & Cooking Enthusiasts,1360,102
1704,B001RVFDOO,5,2009,5,Positive,Positive,0.9531,1,0.9782608695652174,1,2,0,Snacks & Chocolate,0.357,Snack & Cooking Enthusiasts,528,45
1705,B001RVFDOO,5,2009,10,Positive,Positive,0.9926,1,1.0,1,5,0,Snacks & Chocolate,0.749,Snack & Cooking Enthusiasts,854,67
1706,B001RVFDOO,5,2010,5,Positive,Positive,0.9951,1,1.0,1,7,0,Snacks & Chocolate,0.462,Snack & Cooking Enthusiasts,1840,155
1707,B001RVFDOO,5,2012,1,Positive,Positive,0.8224,1,1.0,1,4,0,Organic & Nutrition Labels,0.706,Snack & Cooking Enthusiasts,667,45
1708,B001RVFDOO,2,2009,12,Negative,Negative,-0.8245,1,0.7518796992481203,1,2,1,Organic & Nutrition Labels,0.639,Mainstream Food Buyers,614,50
1709,B001RVFDOO,5,2012,2,Positive,Neutral,0.0,0,1.0,1,1,0,Organic & Nutrition Labels,0.89,Mainstream Food Buyers,420,28
1814,B001RVFDOO,3,2011,4,Neutral,Negative,-0.0598,0,0.8333333333333334,1,4,0,Snacks & Chocolate,0.65,Snack & Cooking Enthusiasts,313,24
1839,B001RVFDOO,3,2010,5,Neutral,Negative,-0.918,0,0.75,1,3,0,Snacks & Chocolate,0.566,Snack & Cooking Enthusiasts,291,27
1912,B0016PKA1C,2,2010,12,Negative,Positive,0.6577,0,1.0,1,1,0,General Product Experience,0.633,Mainstream Food Buyers,1014,77
1913,B0016PKA1C,5,2009,6,Positive,Positive,0.8687,1,1.0,1,4,0,General Product Experience,0.516,Mainstream Food Buyers,439,38
1914,B0016PKA1C,5,2009,6,Positive,Positive,0.5054,1,1.0,1,1,0,Daily Use & Supplements,0.597,Mainstream Food Buyers,367,32
1935,B000F4EU52,1,2006,7,Negative,Positive,0.5719,0,0.8235294117647058,1,1,0,General Product Experience,0.69,Mainstream Food Buyers,418,31
1936,B000F4EU52,1,2009,6,Negative,Positive,0.6846,0,0.8888888888888888,1,7,0,Daily Use & Supplements,0.496,Mainstream Food Buyers,1148,95
1940,B000F4EU52,5,2009,1,Positive,Positive,0.7304,1,0.8,1,2,0,Baking & Dietary Needs,0.581,Mainstream Food Buyers,315,25
1945,B001HBTGI8,4,2009,7,Positive,Positive,0.2918,1,1.0,1,1,0,Cooking Ingredients & Sauces,0.523,Mainstream Food Buyers,171,16
1946,B001HBTGI8,5,2009,3,Positive,Positive,0.5106,1,1.0,1,1,0,General Product Experience,0.649,Mainstream Food Buyers,111,10
1947,B001HBTGI8,5,2009,7,Positive,Positive,0.6106,1,1.0,1,1,0,Cooking Ingredients & Sauces,0.438,Mainstream Food Buyers,227,19
1963,B001FQ0UEE,5,2010,4,Positive,Positive,0.6883,1,1.0,1,2,0,Tea & Beverages,0.507,Mainstream Food Buyers,361,21
1992,B001E5E29A,5,2008,5,Positive,Positive,0.6115,1,0.8888888888888888,1,4,0,Baking & Dietary Needs,0.685,Mainstream Food Buyers,404,38
1993,B001E5E29A,5,2008,5,Positive,Negative,-0.2144,0,0.8888888888888888,1,3,0,Baking & Dietary Needs,0.48,Mainstream Food Buyers,285,27
1994,B001E5E29A,5,2009,3,Positive,Positive,0.64,1,0.88,1,1,0,Baking & Dietary Needs,0.752,Mainstream Food Buyers,359,32
1995,B001E5E29A,4,2008,2,Positive,Positive,0.9161,1,1.0,1,2,0,Baking & Dietary Needs,0.776,Mainstream Food Buyers,215,18
1996,B001E5E29A,5,2010,2,Positive,Positive,0.9744,1,0.9090909090909091,1,3,0,Baking & Dietary Needs,0.64,Mainstream Food Buyers,419,35
1997,B001E5E29A,5,2010,7,Positive,Positive,0.9978,1,1.0,1,6,0,Baking & Dietary Needs,0.499,Mainstream Food Buyers,1730,129
1998,B001E5E29A,4,2009,8,Positive,Positive,0.9501,1,1.0,1,2,0,Baking & Dietary Needs,0.476,Mainstream Food Buyers,275,18
1999,B001E5E29A,4,2010,2,Positive,Positive,0.7003,1,0.8888888888888888,1,3,0,Baking & Dietary Needs,0.786,Mainstream Food Buyers,445,36
2000,B001E5E29A,5,2008,3,Positive,Positive,0.8892,1,0.875,1,1,0,Tea & Beverages,0.574,Mainstream Food Buyers,133,10
2001,B001E5E29A,5,2007,5,Positive,Positive,0.9252,1,0.7857142857142857,1,3,0,Baking & Dietary Needs,0.941,Mainstream Food Buyers,189,15
2003,B001E5E29A,5,2009,7,Positive,Positive,0.9682,1,0.8333333333333334,1,3,0,Baking & Dietary Needs,0.77,Mainstream Food Buyers,295,23
2005,B001E5E29A,5,2008,7,Positive,Positive,0.9239,1,0.8,1,1,0,Baking & Dietary Needs,0.834,Mainstream Food Buyers,190,14
2080,B005HGAVGK,1,2012,3,Negative,Negative,-0.9114,1,1.0,1,1,1,General Product Experience,0.584,Tea Drinkers,396,31
2100,B000EPP56U,5,2006,6,Positive,Positive,0.9322,1,1.0,1,2,0,Snacks & Chocolate,0.686,Mainstream Food Buyers,560,47
2160,B000N5XCPM,1,2008,1,Negative,Negative,-0.4019,1,1.0,1,3,1,Pet Food & Treats,0.587,Dedicated Dog Owners,613,50
2161,B000N5XCPM,3,2007,10,Neutral,Negative,-0.5515,0,1.0,1,2,0,Pet Food & Treats,0.626,Dedicated Dog Owners,342,27
2162,B000N5XCPM,1,2011,4,Negative,Negative,-0.9801,1,1.0,1,3,1,Pet Food & Treats,0.703,Dedicated Dog Owners,803,67
2179,B002SW7ZOW,4,2010,5,Positive,Positive,0.7615,1,0.8,1,3,0,General Product Experience,0.531,Tea Drinkers,558,44
2199,B000LRKO9E,5,2009,5,Positive,Positive,0.8063,1,0.8888888888888888,1,4,0,Meal Prep & Easy Cooking,0.492,Mainstream Food Buyers,389,31
2206,B002RKGEII,5,2008,3,Positive,Positive,0.3367,1,1.0,1,1,0,Cooking Ingredients & Sauces,0.432,Mainstream Food Buyers,214,18
2207,B002RKGEII,4,2009,2,Positive,Positive,0.9095,1,1.0,1,4,0,General Product Experience,0.767,Mainstream Food Buyers,141,7
2219,B002C4HZ00,5,2011,4,Positive,Negative,-0.8142,0,1.0,1,5,0,General Product Experience,0.603,Mainstream Food Buyers,1420,111
2220,B002C4HZ00,1,2011,5,Negative,Positive,0.7755,0,0.8181818181818182,1,3,0,General Product Experience,0.575,Mainstream Food Buyers,696,51
2221,B002C4HZ00,1,2011,10,Negative,Positive,0.5983,0,1.0,1,1,0,General Product Experience,0.819,Mainstream Food Buyers,434,33
2222,B002C4HZ00,1,2011,9,Negative,Positive,0.1882,0,1.0,1,1,0,Organic & Nutrition Labels,0.48,Mainstream Food Buyers,233,17
2223,B002C4HZ00,5,2010,1,Positive,Positive,0.6486,1,0.8125,1,1,0,General Product Experience,0.737,Mainstream Food Buyers,379,32
2224,B002C4HZ00,2,2011,4,Negative,Negative,-0.3748,1,0.8181818181818182,1,1,1,General Product Experience,0.7,Mainstream Food Buyers,556,48
2225,B002C4HZ00,1,2011,5,Negative,Positive,0.5984,0,0.75,1,1,0,General Product Experience,0.93,Mainstream Food Buyers,470,27
2226,B002C4HZ00,1,2011,3,Negative,Negative,-0.386,1,0.75,1,3,1,General Product Experience,0.732,Mainstream Food Buyers,523,41
2259,B003NZH3VS,2,2011,10,Negative,Positive,0.7266,0,0.8888888888888888,1,6,0,General Product Experience,0.699,Mainstream Food Buyers,878,63
2311,B0032JKWGI,5,2012,4,Positive,Positive,0.5764,1,1.0,1,2,0,Daily Use & Supplements,0.641,Mainstream Food Buyers,311,27
2312,B0032JKWGI,5,2012,4,Positive,Positive,0.9212,1,0.9411764705882353,1,2,0,General Product Experience,0.544,Mainstream Food Buyers,210,15
2313,B0032JKWGI,4,2012,6,Positive,Positive,0.1386,1,1.0,1,3,0,Organic & Nutrition Labels,0.506,Mainstream Food Buyers,525,41
2314,B0032JKWGI,5,2012,5,Positive,Positive,0.8974,1,0.9,1,2,0,Daily Use & Supplements,0.592,Mainstream Food Buyers,535,50
2315,B0032JKWGI,5,2012,8,Positive,Negative,-0.775,0,1.0,1,6,0,Daily Use & Supplements,0.614,Mainstream Food Buyers,920,78
2316,B0032JKWGI,5,2012,6,Positive,Positive,0.9288,1,1.0,1,2,0,Tea & Beverages,0.86,Mainstream Food Buyers,338,27
2359,B00637N4H0,5,2011,11,Positive,Positive,0.9909,1,1.0,1,4,0,Coffee & Roasts,0.662,Coffee Aficionados,1459,129
2360,B00637N4H0,5,2011,12,Positive,Positive,0.9814,1,1.0,1,3,0,Coffee & Roasts,0.775,Mainstream Food Buyers,746,62
2373,B00196U7OI,5,2008,7,Positive,Positive,0.8527,1,1.0,1,5,0,Snacks & Chocolate,0.777,Mainstream Food Buyers,537,41
2381,B0089SPDUW,5,2010,12,Positive,Positive,0.981,1,0.9310344827586207,1,4,0,Coffee & Roasts,0.458,Coffee Aficionados,442,34
2382,B0089SPDUW,5,2011,4,Positive,Positive,0.7708,1,1.0,1,3,0,Coffee & Roasts,0.841,Coffee Aficionados,590,46
2383,B0089SPDUW,5,2011,2,Positive,Positive,0.9337,1,0.8823529411764706,1,1,0,Coffee & Roasts,0.924,Coffee Aficionados,124,11
2384,B0089SPDUW,5,2012,3,Positive,Positive,0.9732,1,1.0,1,3,0,Coffee & Roasts,0.984,Coffee Aficionados,659,59
2385,B0089SPDUW,5,2011,7,Positive,Positive,0.8337,1,1.0,1,2,0,Coffee & Roasts,0.886,Coffee Aficionados,100,7
2391,B0089SPDUW,5,2010,12,Positive,Positive,0.886,1,0.8333333333333334,1,1,0,Coffee & Roasts,0.943,Coffee Aficionados,182,15
2396,B0089SPDUW,5,2011,7,Positive,Positive,0.7115,1,0.8,1,3,0,Coffee & Roasts,0.903,Coffee Aficionados,293,22
2450,B002JX7GVM,5,2010,3,Positive,Positive,0.9565,1,0.8888888888888888,1,3,0,Tea & Beverages,0.573,Mainstream Food Buyers,644,42
2486,B0027IQC5K,5,2008,5,Positive,Positive,0.5001,1,1.0,1,7,0,Pet Food & Treats,0.378,Dedicated Dog Owners,1292,99
