Id,jtbd_tags,Score,star_sentiment,vader_compound,unmet_need,is_helpful,review_year,cluster_name
219,Quality & Freshness,5,Positive,0.9424,0,1,2010,Tea Drinkers
264,Health & Nutrition,3,Neutral,-0.9218,0,1,2011,Mainstream Food Buyers
264,Value & Bulk Buying,3,Neutral,-0.9218,0,1,2011,Mainstream Food Buyers
264,Gifting & Occasion,3,Neutral,-0.9218,0,1,2011,Mainstream Food Buyers
264,Quality & Freshness,3,Neutral,-0.9218,0,1,2011,Mainstream Food Buyers
264,Repeat Purchase,3,Neutral,-0.9218,0,1,2011,Mainstream Food Buyers
265,Health & Nutrition,5,Positive,0.872,0,1,2012,Mainstream Food Buyers
265,Family & Kids,5,Positive,0.872,0,1,2012,Mainstream Food Buyers
288,Health & Nutrition,5,Positive,0.9676,0,1,2010,Mainstream Food Buyers
288,Taste & Enjoyment,5,Positive,0.9676,0,1,2010,Mainstream Food Buyers
289,Health & Nutrition,5,Positive,0.9557,0,1,2010,Mainstream Food Buyers
289,Taste & Enjoyment,5,Positive,0.9557,0,1,2010,Mainstream Food Buyers
289,Value & Bulk Buying,5,Positive,0.9557,0,1,2010,Mainstream Food Buyers
290,Health & Nutrition,5,Positive,0.8439,0,1,2010,Mainstream Food Buyers
291,Health & Nutrition,3,Neutral,0.6257,0,1,2009,Mainstream Food Buyers
291,Taste & Enjoyment,3,Neutral,0.6257,0,1,2009,Mainstream Food Buyers
295,Health & Nutrition,3,Neutral,0.4939,0,1,2009,Mainstream Food Buyers
295,Taste & Enjoyment,3,Neutral,0.4939,0,1,2009,Mainstream Food Buyers
357,Health & Nutrition,5,Positive,0.8805,0,1,2011,Mainstream Food Buyers
357,Taste & Enjoyment,5,Positive,0.8805,0,1,2011,Mainstream Food Buyers
406,Taste & Enjoyment,5,Positive,0.9622,0,1,2007,Tea Drinkers
523,Health & Nutrition,5,Positive,0.9954,0,1,2008,Snack & Cooking Enthusiasts
523,Taste & Enjoyment,5,Positive,0.9954,0,1,2008,Snack & Cooking Enthusiasts
523,Convenience & Speed,5,Positive,0.9954,0,1,2008,Snack & Cooking Enthusiasts
523,Family & Kids,5,Positive,0.9954,0,1,2008,Snack & Cooking Enthusiasts
523,Pet Care,5,Positive,0.9954,0,1,2008,Snack & Cooking Enthusiasts
523,Value & Bulk Buying,5,Positive,0.9954,0,1,2008,Snack & Cooking Enthusiasts
524,Health & Nutrition,5,Positive,0.4246,0,1,2007,Snack & Cooking Enthusiasts
524,Taste & Enjoyment,5,Positive,0.4246,0,1,2007,Snack & Cooking Enthusiasts
524,Family & Kids,5,Positive,0.4246,0,1,2007,Snack & Cooking Enthusiasts
525,Health & Nutrition,5,Positive,0.8583,0,1,2008,Snack & Cooking Enthusiasts
525,Taste & Enjoyment,5,Positive,0.8583,0,1,2008,Snack & Cooking Enthusiasts
528,Taste & Enjoyment,5,Positive,0.9538,0,1,2007,Snack & Cooking Enthusiasts
528,Repeat Purchase,5,Positive,0.9538,0,1,2007,Snack & Cooking Enthusiasts
561,Taste & Enjoyment,1,Negative,-0.7754,1,1,2011,Snack & Cooking Enthusiasts
561,Value & Bulk Buying,1,Negative,-0.7754,1,1,2011,Snack & Cooking Enthusiasts
562,Quality & Freshness,1,Negative,-0.664,1,1,2011,Snack & Cooking Enthusiasts
563,Family & Kids,1,Negative,-0.8814,1,1,2011,Mainstream Food Buyers
563,Pet Care,1,Negative,-0.8814,1,1,2011,Mainstream Food Buyers
563,Quality & Freshness,1,Negative,-0.8814,1,1,2011,Mainstream Food Buyers
563,Repeat Purchase,1,Negative,-0.8814,1,1,2011,Mainstream Food Buyers
564,Health & Nutrition,5,Positive,0.9217,0,1,2008,Snack & Cooking Enthusiasts
564,Taste & Enjoyment,5,Positive,0.9217,0,1,2008,Snack & Cooking Enthusiasts
564,Convenience & Speed,5,Positive,0.9217,0,1,2008,Snack & Cooking Enthusiasts
565,Taste & Enjoyment,5,Positive,0.8172,0,1,2007,Snack & Cooking Enthusiasts
565,Family & Kids,5,Positive,0.8172,0,1,2007,Snack & Cooking Enthusiasts
566,Taste & Enjoyment,5,Positive,0.9859,0,1,2007,Snack & Cooking Enthusiasts
566,Pet Care,5,Positive,0.9859,0,1,2007,Snack & Cooking Enthusiasts
566,Value & Bulk Buying,5,Positive,0.9859,0,1,2007,Snack & Cooking Enthusiasts
577,Repeat Purchase,1,Negative,0.8291,0,1,2011,Snack & Cooking Enthusiasts
578,Health & Nutrition,5,Positive,0.9749,0,1,2009,Snack & Cooking Enthusiasts
578,Taste & Enjoyment,5,Positive,0.9749,0,1,2009,Snack & Cooking Enthusiasts
578,Family & Kids,5,Positive,0.9749,0,1,2009,Snack & Cooking Enthusiasts
578,Pet Care,5,Positive,0.9749,0,1,2009,Snack & Cooking Enthusiasts
578,Value & Bulk Buying,5,Positive,0.9749,0,1,2009,Snack & Cooking Enthusiasts
654,Health & Nutrition,5,Positive,0.7588,0,1,2009,Mainstream Food Buyers
654,Taste & Enjoyment,5,Positive,0.7588,0,1,2009,Mainstream Food Buyers
654,Convenience & Speed,5,Positive,0.7588,0,1,2009,Mainstream Food Buyers
654,Pet Care,5,Positive,0.7588,0,1,2009,Mainstream Food Buyers
654,Value & Bulk Buying,5,Positive,0.7588,0,1,2009,Mainstream Food Buyers
654,Quality & Freshness,5,Positive,0.7588,0,1,2009,Mainstream Food Buyers
654,Repeat Purchase,5,Positive,0.7588,0,1,2009,Mainstream Food Buyers
655,Quality & Freshness,4,Positive,0.4404,0,1,2010,Mainstream Food Buyers
656,Health & Nutrition,5,Positive,0.8932,0,1,2010,Mainstream Food Buyers
676,Taste & Enjoyment,5,Positive,0.6588,0,1,2007,Snack & Cooking Enthusiasts
681,Taste & Enjoyment,5,Positive,0.491,0,1,2007,Mainstream Food Buyers
682,Taste & Enjoyment,5,Positive,-0.509,0,1,2006,Snack & Cooking Enthusiasts
682,Family & Kids,5,Positive,-0.509,0,1,2006,Snack & Cooking Enthusiasts
746,Health & Nutrition,5,Positive,0.9909,0,1,2012,Mainstream Food Buyers
746,Taste & Enjoyment,5,Positive,0.9909,0,1,2012,Mainstream Food Buyers
746,Family & Kids,5,Positive,0.9909,0,1,2012,Mainstream Food Buyers
746,Special Diet,5,Positive,0.9909,0,1,2012,Mainstream Food Buyers
746,Value & Bulk Buying,5,Positive,0.9909,0,1,2012,Mainstream Food Buyers
746,Quality & Freshness,5,Positive,0.9909,0,1,2012,Mainstream Food Buyers
752,Taste & Enjoyment,4,Positive,0.9916,0,1,2010,Mainstream Food Buyers
752,Value & Bulk Buying,4,Positive,0.9916,0,1,2010,Mainstream Food Buyers
752,Gifting & Occasion,4,Positive,0.9916,0,1,2010,Mainstream Food Buyers
752,Quality & Freshness,4,Positive,0.9916,0,1,2010,Mainstream Food Buyers
752,Repeat Purchase,4,Positive,0.9916,0,1,2010,Mainstream Food Buyers
804,Health & Nutrition,3,Neutral,0.8289,0,1,2011,Mainstream Food Buyers
804,Taste & Enjoyment,3,Neutral,0.8289,0,1,2011,Mainstream Food Buyers
804,Value & Bulk Buying,3,Neutral,0.8289,0,1,2011,Mainstream Food Buyers
804,Gifting & Occasion,3,Neutral,0.8289,0,1,2011,Mainstream Food Buyers
804,Quality & Freshness,3,Neutral,0.8289,0,1,2011,Mainstream Food Buyers
805,Taste & Enjoyment,3,Neutral,0.8422,0,1,2011,Mainstream Food Buyers
805,Gifting & Occasion,3,Neutral,0.8422,0,1,2011,Mainstream Food Buyers
805,Quality & Freshness,3,Neutral,0.8422,0,1,2011,Mainstream Food Buyers
828,Value & Bulk Buying,5,Positive,0.7088,0,1,2009,Mainstream Food Buyers
828,Quality & Freshness,5,Positive,0.7088,0,1,2009,Mainstream Food Buyers
828,Repeat Purchase,5,Positive,0.7088,0,1,2009,Mainstream Food Buyers
829,Health & Nutrition,5,Positive,0.2382,0,1,2010,Mainstream Food Buyers
829,Taste & Enjoyment,5,Positive,0.2382,0,1,2010,Mainstream Food Buyers
829,Convenience & Speed,5,Positive,0.2382,0,1,2010,Mainstream Food Buyers
830,Taste & Enjoyment,5,Positive,0.945,0,1,2012,Mainstream Food Buyers
830,Quality & Freshness,5,Positive,0.945,0,1,2012,Mainstream Food Buyers
832,Taste & Enjoyment,1,Negative,-0.2755,1,1,2010,Indulgent Snack Seekers
832,Family & Kids,1,Negative,-0.2755,1,1,2010,Indulgent Snack Seekers
833,Taste & Enjoyment,1,Negative,0.7184,0,1,2010,Indulgent Snack Seekers
833,Convenience & Speed,1,Negative,0.7184,0,1,2010,Indulgent Snack Seekers
833,Quality & Freshness,1,Negative,0.7184,0,1,2010,Indulgent Snack Seekers
834,Health & Nutrition,5,Positive,0.8118,0,1,2007,Tea Drinkers
834,Taste & Enjoyment,5,Positive,0.8118,0,1,2007,Tea Drinkers
834,Convenience & Speed,5,Positive,0.8118,0,1,2007,Tea Drinkers
834,Pet Care,5,Positive,0.8118,0,1,2007,Tea Drinkers
834,Value & Bulk Buying,5,Positive,0.8118,0,1,2007,Tea Drinkers
834,Quality & Freshness,5,Positive,0.8118,0,1,2007,Tea Drinkers
857,Taste & Enjoyment,4,Positive,0.7738,0,1,2008,Indulgent Snack Seekers
857,Value & Bulk Buying,4,Positive,0.7738,0,1,2008,Indulgent Snack Seekers
857,Quality & Freshness,4,Positive,0.7738,0,1,2008,Indulgent Snack Seekers
873,Taste & Enjoyment,1,Negative,-0.7391,1,1,2010,Indulgent Snack Seekers
873,Family & Kids,1,Negative,-0.7391,1,1,2010,Indulgent Snack Seekers
873,Special Diet,1,Negative,-0.7391,1,1,2010,Indulgent Snack Seekers
873,Quality & Freshness,1,Negative,-0.7391,1,1,2010,Indulgent Snack Seekers
900,Health & Nutrition,3,Neutral,0.9963,0,1,2009,Mainstream Food Buyers
900,Taste & Enjoyment,3,Neutral,0.9963,0,1,2009,Mainstream Food Buyers
900,Convenience & Speed,3,Neutral,0.9963,0,1,2009,Mainstream Food Buyers
900,Value & Bulk Buying,3,Neutral,0.9963,0,1,2009,Mainstream Food Buyers
900,Quality & Freshness,3,Neutral,0.9963,0,1,2009,Mainstream Food Buyers
974,Taste & Enjoyment,5,Positive,0.9875,0,1,2010,Coffee Aficionados
974,Convenience & Speed,5,Positive,0.9875,0,1,2010,Coffee Aficionados
974,Value & Bulk Buying,5,Positive,0.9875,0,1,2010,Coffee Aficionados
974,Quality & Freshness,5,Positive,0.9875,0,1,2010,Coffee Aficionados
1015,Taste & Enjoyment,5,Positive,0.8201,0,1,2009,Mainstream Food Buyers
1015,Convenience & Speed,5,Positive,0.8201,0,1,2009,Mainstream Food Buyers
1052,Taste & Enjoyment,5,Positive,0.9742,0,1,2010,Snack & Cooking Enthusiasts
1052,Convenience & Speed,5,Positive,0.9742,0,1,2010,Snack & Cooking Enthusiasts
1052,Family & Kids,5,Positive,0.9742,0,1,2010,Snack & Cooking Enthusiasts
1052,Quality & Freshness,5,Positive,0.9742,0,1,2010,Snack & Cooking Enthusiasts
1073,Taste & Enjoyment,5,Positive,0.9757,0,1,2010,Indulgent Snack Seekers
1073,Pet Care,5,Positive,0.9757,0,1,2010,Indulgent Snack Seekers
1073,Quality & Freshness,5,Positive,0.9757,0,1,2010,Indulgent Snack Seekers
1092,Taste & Enjoyment,5,Positive,0.8627,0,1,2010,Snack & Cooking Enthusiasts
1092,Value & Bulk Buying,5,Positive,0.8627,0,1,2010,Snack & Cooking Enthusiasts
1092,Repeat Purchase,5,Positive,0.8627,0,1,2010,Snack & Cooking Enthusiasts
1093,Taste & Enjoyment,4,Positive,0.9138,0,1,2009,Snack & Cooking Enthusiasts
1093,Family & Kids,4,Positive,0.9138,0,1,2009,Snack & Cooking Enthusiasts
1093,Value & Bulk Buying,4,Positive,0.9138,0,1,2009,Snack & Cooking Enthusiasts
1094,Taste & Enjoyment,5,Positive,0.9653,0,1,2010,Snack & Cooking Enthusiasts
1094,Pet Care,5,Positive,0.9653,0,1,2010,Snack & Cooking Enthusiasts
1094,Value & Bulk Buying,5,Positive,0.9653,0,1,2010,Snack & Cooking Enthusiasts
1151,Taste & Enjoyment,1,Negative,-0.8398,1,1,2011,Mainstream Food Buyers
1151,Quality & Freshness,1,Negative,-0.8398,1,1,2011,Mainstream Food Buyers
1153,Taste & Enjoyment,1,Negative,-0.5893,1,1,2011,Mainstream Food Buyers
1153,Gifting & Occasion,1,Negative,-0.5893,1,1,2011,Mainstream Food Buyers
1153,Quality & Freshness,1,Negative,-0.5893,1,1,2011,Mainstream Food Buyers
1169,Health & Nutrition,3,Neutral,-0.4215,0,1,2010,Mainstream Food Buyers
1177,Value & Bulk Buying,1,Negative,-0.9493,1,1,2012,Mainstream Food Buyers
1177,Quality & Freshness,1,Negative,-0.9493,1,1,2012,Mainstream Food Buyers
1178,Family & Kids,1,Negative,0.1697,0,1,2011,Mainstream Food Buyers
1178,Pet Care,1,Negative,0.1697,0,1,2011,Mainstream Food Buyers
1178,Quality & Freshness,1,Negative,0.1697,0,1,2011,Mainstream Food Buyers
1179,Taste & Enjoyment,3,Neutral,0.8673,0,1,2011,Mainstream Food Buyers
1179,Gifting & Occasion,3,Neutral,0.8673,0,1,2011,Mainstream Food Buyers
1179,Quality & Freshness,3,Neutral,0.8673,0,1,2011,Mainstream Food Buyers
1181,Taste & Enjoyment,5,Positive,0.9467,0,1,2011,Mainstream Food Buyers
1181,Family & Kids,5,Positive,0.9467,0,1,2011,Mainstream Food Buyers
1181,Value & Bulk Buying,5,Positive,0.9467,0,1,2011,Mainstream Food Buyers
1205,Health & Nutrition,5,Positive,0.9618,0,1,2007,Mainstream Food Buyers
1205,Taste & Enjoyment,5,Positive,0.9618,0,1,2007,Mainstream Food Buyers
1205,Family & Kids,5,Positive,0.9618,0,1,2007,Mainstream Food Buyers
1205,Value & Bulk Buying,5,Positive,0.9618,0,1,2007,Mainstream Food Buyers
1205,Quality & Freshness,5,Positive,0.9618,0,1,2007,Mainstream Food Buyers
1206,Taste & Enjoyment,5,Positive,0.9229,0,1,2004,Mainstream Food Buyers
1206,Pet Care,5,Positive,0.9229,0,1,2004,Mainstream Food Buyers
1207,Health & Nutrition,1,Negative,0.9302,0,1,2010,Mainstream Food Buyers
1207,Taste & Enjoyment,1,Negative,0.9302,0,1,2010,Mainstream Food Buyers
1207,Convenience & Speed,1,Negative,0.9302,0,1,2010,Mainstream Food Buyers
1207,Family & Kids,1,Negative,0.9302,0,1,2010,Mainstream Food Buyers
1207,Value & Bulk Buying,1,Negative,0.9302,0,1,2010,Mainstream Food Buyers
1207,Gifting & Occasion,1,Negative,0.9302,0,1,2010,Mainstream Food Buyers
1207,Quality & Freshness,1,Negative,0.9302,0,1,2010,Mainstream Food Buyers
1208,Taste & Enjoyment,4,Positive,0.3182,0,1,2006,Snack & Cooking Enthusiasts
1208,Convenience & Speed,4,Positive,0.3182,0,1,2006,Snack & Cooking Enthusiasts
1208,Family & Kids,4,Positive,0.3182,0,1,2006,Snack & Cooking Enthusiasts
1208,Value & Bulk Buying,4,Positive,0.3182,0,1,2006,Snack & Cooking Enthusiasts
1209,Convenience & Speed,3,Neutral,0.9556,0,1,2004,Mainstream Food Buyers
1209,Value & Bulk Buying,3,Neutral,0.9556,0,1,2004,Mainstream Food Buyers
1210,Unclassified,4,Positive,0.126,0,1,2006,Mainstream Food Buyers
1211,Taste & Enjoyment,1,Negative,-0.1999,1,1,2008,Mainstream Food Buyers
1211,Value & Bulk Buying,1,Negative,-0.1999,1,1,2008,Mainstream Food Buyers
1211,Quality & Freshness,1,Negative,-0.1999,1,1,2008,Mainstream Food Buyers
1212,Taste & Enjoyment,5,Positive,0.887,0,1,2006,Mainstream Food Buyers
1215,Convenience & Speed,5,Positive,0.8585,0,1,2006,Mainstream Food Buyers
1215,Repeat Purchase,5,Positive,0.8585,0,1,2006,Mainstream Food Buyers
1219,Convenience & Speed,4,Positive,0.6249,0,1,2006,Mainstream Food Buyers
1235,Value & Bulk Buying,3,Neutral,-0.2244,0,1,2009,Mainstream Food Buyers
1235,Quality & Freshness,3,Neutral,-0.2244,0,1,2009,Mainstream Food Buyers
1236,Unclassified,1,Negative,0.0,0,1,2010,Mainstream Food Buyers
1244,Taste & Enjoyment,5,Positive,0.9503,0,1,2000,Mainstream Food Buyers
1244,Family & Kids,5,Positive,0.9503,0,1,2000,Mainstream Food Buyers
1245,Unclassified,5,Positive,0.8169,0,1,2000,Mainstream Food Buyers
1252,Health & Nutrition,5,Positive,0.6269,0,1,2011,Mainstream Food Buyers
1252,Family & Kids,5,Positive,0.6269,0,1,2011,Mainstream Food Buyers
1252,Gifting & Occasion,5,Positive,0.6269,0,1,2011,Mainstream Food Buyers
1257,Unclassified,5,Positive,0.4767,0,1,2008,Mainstream Food Buyers
1258,Taste & Enjoyment,5,Positive,0.996,0,1,2008,Mainstream Food Buyers
1258,Convenience & Speed,5,Positive,0.996,0,1,2008,Mainstream Food Buyers
1258,Family & Kids,5,Positive,0.996,0,1,2008,Mainstream Food Buyers
1258,Value & Bulk Buying,5,Positive,0.996,0,1,2008,Mainstream Food Buyers
1258,Gifting & Occasion,5,Positive,0.996,0,1,2008,Mainstream Food Buyers
1318,Health & Nutrition,1,Negative,0.6724,0,1,2011,Mainstream Food Buyers
1318,Taste & Enjoyment,1,Negative,0.6724,0,1,2011,Mainstream Food Buyers
1318,Quality & Freshness,1,Negative,0.6724,0,1,2011,Mainstream Food Buyers
1319,Taste & Enjoyment,5,Positive,0.8462,0,1,2011,Mainstream Food Buyers
1319,Quality & Freshness,5,Positive,0.8462,0,1,2011,Mainstream Food Buyers
1333,Taste & Enjoyment,5,Positive,0.9371,0,1,2009,Mainstream Food Buyers
1367,Health & Nutrition,5,Positive,0.9403,0,1,2012,Mainstream Food Buyers
1367,Taste & Enjoyment,5,Positive,0.9403,0,1,2012,Mainstream Food Buyers
1367,Special Diet,5,Positive,0.9403,0,1,2012,Mainstream Food Buyers
1368,Family & Kids,5,Positive,0.9022,0,1,2012,Mainstream Food Buyers
1368,Quality & Freshness,5,Positive,0.9022,0,1,2012,Mainstream Food Buyers
1369,Health & Nutrition,5,Positive,0.9345,0,1,2011,Mainstream Food Buyers
1369,Convenience & Speed,5,Positive,0.9345,0,1,2011,Mainstream Food Buyers
1369,Special Diet,5,Positive,0.9345,0,1,2011,Mainstream Food Buyers
1369,Quality & Freshness,5,Positive,0.9345,0,1,2011,Mainstream Food Buyers
1373,Health & Nutrition,5,Positive,0.9132,0,1,2006,Mainstream Food Buyers
1373,Taste & Enjoyment,5,Positive,0.9132,0,1,2006,Mainstream Food Buyers
1374,Health & Nutrition,5,Positive,0.9807,0,1,2010,Mainstream Food Buyers
1374,Taste & Enjoyment,5,Positive,0.9807,0,1,2010,Mainstream Food Buyers
1374,Family & Kids,5,Positive,0.9807,0,1,2010,Mainstream Food Buyers
1374,Pet Care,5,Positive,0.9807,0,1,2010,Mainstream Food Buyers
1374,Special Diet,5,Positive,0.9807,0,1,2010,Mainstream Food Buyers
1407,Taste & Enjoyment,5,Positive,0.6115,0,1,2009,Mainstream Food Buyers
1407,Value & Bulk Buying,5,Positive,0.6115,0,1,2009,Mainstream Food Buyers
1435,Taste & Enjoyment,5,Positive,0.961,0,1,2007,Mainstream Food Buyers
1435,Family & Kids,5,Positive,0.961,0,1,2007,Mainstream Food Buyers
1435,Gifting & Occasion,5,Positive,0.961,0,1,2007,Mainstream Food Buyers
1435,Quality & Freshness,5,Positive,0.961,0,1,2007,Mainstream Food Buyers
1436,Quality & Freshness,5,Positive,0.6698,0,1,2008,Mainstream Food Buyers
1436,Repeat Purchase,5,Positive,0.6698,0,1,2008,Mainstream Food Buyers
1440,Taste & Enjoyment,3,Neutral,0.2908,0,1,2009,Mainstream Food Buyers
1440,Convenience & Speed,3,Neutral,0.2908,0,1,2009,Mainstream Food Buyers
1440,Pet Care,3,Neutral,0.2908,0,1,2009,Mainstream Food Buyers
1460,Health & Nutrition,5,Positive,0.9489,0,1,2010,Mainstream Food Buyers
1460,Taste & Enjoyment,5,Positive,0.9489,0,1,2010,Mainstream Food Buyers
1460,Convenience & Speed,5,Positive,0.9489,0,1,2010,Mainstream Food Buyers
1461,Unclassified,5,Positive,0.5574,0,1,2011,Mainstream Food Buyers
1462,Health & Nutrition,5,Positive,0.9661,0,1,2011,Mainstream Food Buyers
1462,Taste & Enjoyment,5,Positive,0.9661,0,1,2011,Mainstream Food Buyers
1462,Quality & Freshness,5,Positive,0.9661,0,1,2011,Mainstream Food Buyers
1474,Taste & Enjoyment,5,Positive,0.8885,0,1,2010,Mainstream Food Buyers
1495,Health & Nutrition,3,Neutral,0.8653,0,1,2010,Mainstream Food Buyers
1495,Taste & Enjoyment,3,Neutral,0.8653,0,1,2010,Mainstream Food Buyers
1495,Quality & Freshness,3,Neutral,0.8653,0,1,2010,Mainstream Food Buyers
1498,Health & Nutrition,5,Positive,0.9824,0,1,2010,Mainstream Food Buyers
1498,Family & Kids,5,Positive,0.9824,0,1,2010,Mainstream Food Buyers
1498,Special Diet,5,Positive,0.9824,0,1,2010,Mainstream Food Buyers
1498,Quality & Freshness,5,Positive,0.9824,0,1,2010,Mainstream Food Buyers
1498,Repeat Purchase,5,Positive,0.9824,0,1,2010,Mainstream Food Buyers
1499,Health & Nutrition,5,Positive,0.8413,0,1,2010,Mainstream Food Buyers
1499,Convenience & Speed,5,Positive,0.8413,0,1,2010,Mainstream Food Buyers
1499,Family & Kids,5,Positive,0.8413,0,1,2010,Mainstream Food Buyers
1500,Health & Nutrition,5,Positive,0.9864,0,1,2010,Mainstream Food Buyers
1500,Special Diet,5,Positive,0.9864,0,1,2010,Mainstream Food Buyers
1504,Health & Nutrition,5,Positive,0.9808,0,1,2011,Mainstream Food Buyers
1504,Taste & Enjoyment,5,Positive,0.9808,0,1,2011,Mainstream Food Buyers
1504,Convenience & Speed,5,Positive,0.9808,0,1,2011,Mainstream Food Buyers
1504,Quality & Freshness,5,Positive,0.9808,0,1,2011,Mainstream Food Buyers
1504,Repeat Purchase,5,Positive,0.9808,0,1,2011,Mainstream Food Buyers
1518,Taste & Enjoyment,5,Positive,0.9436,0,1,2009,Coffee Aficionados
1518,Special Diet,5,Positive,0.9436,0,1,2009,Coffee Aficionados
1518,Value & Bulk Buying,5,Positive,0.9436,0,1,2009,Coffee Aficionados
1518,Quality & Freshness,5,Positive,0.9436,0,1,2009,Coffee Aficionados
1525,Taste & Enjoyment,5,Positive,0.7913,0,1,2008,Mainstream Food Buyers
1525,Convenience & Speed,5,Positive,0.7913,0,1,2008,Mainstream Food Buyers
1556,Taste & Enjoyment,5,Positive,0.9231,0,1,2007,Mainstream Food Buyers
1573,Health & Nutrition,5,Positive,0.9866,0,1,2009,Dedicated Dog Owners
1573,Taste & Enjoyment,5,Positive,0.9866,0,1,2009,Dedicated Dog Owners
1573,Convenience & Speed,5,Positive,0.9866,0,1,2009,Dedicated Dog Owners
1573,Family & Kids,5,Positive,0.9866,0,1,2009,Dedicated Dog Owners
1573,Pet Care,5,Positive,0.9866,0,1,2009,Dedicated Dog Owners
1573,Value & Bulk Buying,5,Positive,0.9866,0,1,2009,Dedicated Dog Owners
1573,Quality & Freshness,5,Positive,0.9866,0,1,2009,Dedicated Dog Owners
1574,Health & Nutrition,5,Positive,-0.8893,0,1,2009,Dedicated Dog Owners
1574,Taste & Enjoyment,5,Positive,-0.8893,0,1,2009,Dedicated Dog Owners
1574,Pet Care,5,Positive,-0.8893,0,1,2009,Dedicated Dog Owners
1574,Special Diet,5,Positive,-0.8893,0,1,2009,Dedicated Dog Owners
1574,Quality & Freshness,5,Positive,-0.8893,0,1,2009,Dedicated Dog Owners
